hostname,sy_pnum,pl_name,discoverymethod,pl_controv_flag,st_mass,pl_orbper,pl_orbeccen,pl_msinie,st_masserr1,pl_orbpererr1,pl_orbeccenerr1,pl_msinieerr1,st_masserr2,pl_orbpererr2,pl_orbeccenerr2,pl_msinieerr2
Kepler-282,4,Kepler-282 b,Transit,0,0.86,9.220524,0.0,,0.017,0.000341,,,-0.013,-0.000341,,
Kepler-282,4,Kepler-282 c,Transit,0,0.86,13.638723,0.0,,0.017,0.000491,,,-0.013,-0.000491,,
Kepler-220,4,Kepler-220 e,Transit,0,0.729,45.902733,0.0,,0.0185,0.000192,,,-0.0185,-0.000192,,
Kepler-154,5,Kepler-154 c,Transit,0,0.933,62.303276,0.0,,0.032,0.000406,,,-0.03,-0.000406,,
Kepler-85,4,Kepler-85 e,Transit,0,0.947,25.216751,0.0,,0.016,0.000718,,,-0.017,-0.000718,,
Kepler-55,5,Kepler-55 e,Transit,0,0.631,4.617534,0.0,,0.016,2.1e-05,,,-0.016,-2.1e-05,,
Kepler-310,3,Kepler-310 b,Transit,0,0.854,13.930698,0.0,,0.034,0.000108,,,-0.032,-0.000108,,
Kepler-286,4,Kepler-286 e,Transit,0,0.83,29.221289,0.0,,0.031,0.00037,,,-0.029,-0.00037,,
Kepler-354,3,Kepler-354 d,Transit,0,0.652,24.209842,0.0,,0.016,0.000403,,,-0.016,-0.000403,,
Kepler-142,3,Kepler-142 b,Transit,0,0.978,2.024152,0.0,,0.035,3e-06,,,-0.031,-3e-06,,
Kepler-487,3,Kepler-487 b,Transit,0,0.91,15.358768403,0.0,,0.036,2.214e-06,,,-0.041,-2.214e-06,,
Kepler-58,4,Kepler-58 d,Transit,0,1.024,40.101371,0.0,,0.024,0.000612,,,-0.027,-0.000612,,
Kepler-299,4,Kepler-299 e,Transit,0,1.004,38.285489,0.0,,0.032,0.001428,,,-0.035,-0.001428,,
Kepler-372,3,Kepler-372 b,Transit,0,1.202,6.849692,0.0,,0.0082,0.000134,,,-0.0082,-0.000134,,
Kepler-357,3,Kepler-357 c,Transit,0,0.794,16.85837,0.0,,0.012,8.1e-05,,,-0.021,-8.1e-05,,
Kepler-124,3,Kepler-124 b,Transit,0,0.706,3.410493,0.0,,0.01,2.1e-05,,,-0.006,-2.1e-05,,
Kepler-235,4,Kepler-235 b,Transit,0,0.581,3.340222,0.0,,0.018,5e-06,,,-0.018,-5e-06,,
Kepler-363,3,Kepler-363 b,Transit,0,1.226,3.614568,0.0,,0.031,5.3e-05,,,-0.075,-5.3e-05,,
Kepler-319,3,Kepler-319 d,Transit,0,0.933,31.781925,0.0,,0.012,0.000105,,,-0.016,-0.000105,,
Kepler-319,3,Kepler-319 b,Transit,0,0.933,4.362705,0.0,,0.012,9e-06,,,-0.016,-9e-06,,
Kepler-398,3,Kepler-398 c,Transit,0,0.649,11.419412,0.0,,0.015,4.7e-05,,,-0.015,-4.7e-05,,
